name,radius,x,y,z
αCentauri,7,-81.688532547584288,-68.30720299830547,-190.79664480480403
Sirius,20,-80.605788369552698,403.8635398591108,-123.68083139189861
εEridani,3,309.97592298149897,414.84570013374241,-86.272662253536708
61Cygni,3,323.65396552569024,-304.73259639036331,356.77185328537792
Procyon,11,-240.41397523187521,519.69623363387393,52.363587157233901
εIndi,3,282.22436966476437,-157.469876487113,-493.61183450810807
τCeti,7,514.15202638048299,250.95753736794984,-163.37995044391826
Groombridge1618,3,-459.81881940123657,235.88645779775626,604.11028161427646
ο2Eridani,3,356.39475642625541,724.86419371411932,-108.53422622864149
70Ophiuchi,3,19.734065735416969,-828.97509852150063,36.20569956261722
Altair,20,383.44942180375915,-730.49356259667786,128.72721516127208
σDraconis,7,128.13044696951081,-300.54378526079842,881.39436219010645
Gliese570,3,-632.24643634673828,-618.4208992808758,-346.87178475552457
ηCassiopeiae,7,504.85805040832992,109.85723284660955,820.94441792924454
36Ophiuchi,3,-168.77109313560814,-855.28625561004719,-436.60822150568481
HR7703,3,428.93118980968768,-665.57750366404025,-577.42932123749165
82G.Eridani,7,462.70201081904349,551.07193288106907,-672.6452066094995
δPavonis,7,213.98298115654285,-340.09514578240913,-910.25907058957694
HR8832,3,568.11354196276352,-117.43622247474453,899.08605655375698
ξBoötis,7,-758.62022905664514,-703.65671137217305,358.31212735119817
Gliese667,3,-169.29833225187667,-935.13324822572702,-665.17958684819405
Gliese105,3,902.4403716224208,731.31323119621754,140.29374021436055
HD4628,3,1182.9834890770819,253.5175733895307,111.82085920658022
βHydri,7,266.36973228712384,30.05592949264684,-1185.0606764312192
107Piscium,3,1031.901516098515,494.93549959024,422.63236070957174
μCassiopeiae,7,675.76436837216659,207.48282133909049,1006.5750827870406
TWPiscisAustrini,3,1016.1112603956313,-289.44321953787681,-649.10748660044749
Vega,20,156.37019234714035,-961.76639685687758,782.97749700885856
Fomalhaut,20,1050.851509751745,-293.15229239869393,-620.32075405701949
Gliese673,3,-186.70770446126249,-1240.1722876753934,46.237754884798527
pEridani,3,643.15524361927328,299.19858846047248,-1059.4604934910476
π3Orionis,11,393.38197227920921,1244.6183736992391,159.37605759956605
χDraconis,11,35.81120680500721,-388.68217998649448,1255.7343351314862
Gliese884,3,1187.0537803668587,-316.57933974876443,-509.49076945611677
μHerculis,7,-70.829879603561167,-1197.3879993335877,630.29366743388243
βCanumVenaticorum,7,-1020.9118317811043,-151.40252106124041,908.53800599955684
61Virginis,7,-1247.6160839263998,-444.28739900371863,-438.27823835397623
ζTucanae,11,592.15914287099713,51.99204010591022,-1267.5347637362502
χ1Orionis,7,32.528024810338088,1326.9182976928289,490.36186520762726
HD50281,3,-319.93729600122185,1377.549784378233,-128.04967078016909
284G.Eridani,3,360.80700700672639,1365.998776096118,-142.35746344591479
41G.Arae,7,-175.05975567523214,-969.63513902948205,-1043.2577721264315
ξUrsaeMajoris,7,-1207.0439430453227,222.71394561511011,753.02285356166306
5G.Capricorni,3,720.61692187845722,-1077.2259547342192,-661.30212032728866
γLeporis,11,91.720001541626431,1350.8778159613557,-559.41180507804984
